	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
10	HG01192.m64043_211124_192057.dc.q20.fastq.gz	HG01192	HG01192_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6658047	137542735446	137.55	172.66666666666666	61404.666666666664	18097.0	19934.0	22555.666666666668	55456	61547	70373
11	HG01261.m64043_211222_184851.dc.q20.fastq.gz	HG01261	HG01261_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6261141	132770447728	132.76999999999998	641.25	72534.0	18135.25	19746.75	22942.25	73804	81580	98975
12	HG01975.m64043_211113_003158.dc.q20.fastq.gz	HG01975	HG01975_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6149540	121417620190	121.42	487.25	63382.75	17640.0	18930.5	20890.5	71317	77120	86350
13	HG02015.m64043_210901_164337.dc.q20.fastq.gz	HG02015	HG02015_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6722020	125875719290	125.87	185.33333333333334	63591.333333333336	16165.666666666666	17675.666666666668	20822.0	49323	55040	65158
14	HG02040.m64076_220908_204946.dc.q20.fastq.gz	HG02040	HG02040.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	7337683	153044049343	153.04	148.0	70604.66666666667	17718.666666666668	20162.0	23486.0	55050	63313	73972
15	HG02056.m64043_220114_181052.dc.q20.fastq.gz	HG02056	HG02056_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 3	PippinHT	1.2	P2	C2	University of Washington	kmiyamot@uw.edu	6890488	138625934903	138.62	365.75	61412.75	17836.75	19443.5	21931.75	72798	80009	91857
16	HG02129.m64136_220422_181133.dc.q20.fastq.gz	HG02129	HG02129_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6576835	126751685854	126.76	500.0	71528.66666666667	16363.666666666666	18864.666666666668	21019.0	51131	58216	65355
17	HG02155.m64043_220728_173215.dc.q20.fastq.gz	HG02155	HG02155_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6386518	126129002873	126.13	362.0	65079.75	16913.75	18800.5	22019.25	69269	78379	92743
18	HG02165.m64076_220902_143723.dc.q20.fastq.gz	HG02165	PG02165.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7679472	157437648340	157.44	105.33333333333333	75755.33333333333	17573.666666666668	19881.666666666668	22921.666666666668	54333	62038	71598
19	HG02258.m64043_211217_180919.dc.q20.fastq.gz	HG02258	HG02258_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6443673	133053239389	133.05	300.0	60795.75	18690.5	20170.5	22108.75	75759	82048	90407
20	HG02273.m64043_220429_171542.dc.q20.fastq.gz	HG02273	HG02273_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6678473	137880480728	137.88	448.6666666666667	68991.0	17305.0	20105.666666666668	23054.0	53340	62970	72033
21	HG02451.m64076_211109_232223.dc.q20.fastq.gz	HG02451	HG02451_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	8285737	146928480042	146.92000000000002	447.25	59382.75	15537.75	17615.25	20538.0	64113	73669	86390
22	HG02735.m54329U_211109_002533.dc.q20.fastq.gz	HG02735	HG02735_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6568210	128966341210	128.97	75.0	66143.75	16374.5	18750.0	22043.5	67973	78869	93304
23	HG02922.m54329U_220816_182601.dc.q20.fastq.gz	HG02922	PG02922.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	8237501	177615501715	177.60999999999999	109.75	70597.0	17404.0	20348.25	24168.75	73197	86403	102719
24	HG02965.m64043_220715_182700.dc.q20.fastq.gz	HG02965	HG02965_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6358275	132920025321	132.91	126.66666666666667	68147.0	17745.333333333332	19624.333333333332	22985.666666666668	54496	61314	74157
25	HG02976.m64043_220617_195135.dc.q20.fastq.gz	HG02976	HG02976_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6238763	124726568925	124.72	381.5	63055.25	18049.5	19561.25	21464.5	73292	79650	87799
26	HG03017.m54329U_211225_070909.dc.q20.fastq.gz	HG03017	HG03017.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6908707	138503809328	138.5	416.2	68251.4	15915.2	19274.2	23509.2	85844	104700	127354
27	HG03041.m54329U_211214_012740.dc.q20.fastq.gz	HG03041	HG03041.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6805904	132165167295	132.17000000000002	267.6666666666667	64985.666666666664	15903.333333333334	18577.333333333332	22136.0	50096	59225	70829
28	HG03130.m64076_220513_215716.dc.q20.fastq.gz	HG03130	HG03130.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7085218	139432328617	139.43	88.33333333333333	62736.666666666664	16182.0	18884.333333333332	22410.666666666668	50915	60056	71393
29	HG03139.m54329U_220519_225150.dc.q20.fastq.gz	HG03139	HG03139.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7058452	151808949493	151.8	92.33333333333333	74979.33333333333	17508.666666666668	20641.333333333332	24668.666666666668	55459	66010	78831
30	HG03195.m64043_220726_203720.dc.q20.fastq.gz	HG03195	HG03195_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	5906072	123240720890	123.24000000000001	280.25	65114.25	18427.25	20521.75	23971.75	75503	85839	100511
31	HG03209.m64076_220520_234906.dc.q20.fastq.gz	HG03209	HG03209.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7501931	140625111425	140.63	234.0	63327.0	15893.5	18113.75	21140.5	65780	75826	88840
32	HG03225.m64043_220518_120044.dc.q20.fastq.gz	HG03225	HG03225_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	4569445	96152315436	96.16	493.3333333333333	60798.0	18453.666666666668	20347.0	22947.666666666668	56581	62787	71374
33	HG03239.m54329U_220105_011819.dc.q20.fastq.gz	HG03239	HG03239.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6525550	132048314514	132.05	269.0	67853.66666666667	16421.0	19395.666666666668	23263.666666666668	52117	62218	74630
34	HG03704.m54329U_211105_213234.dc.q20.fastq.gz	HG03704	HG03704_SRE.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	5861296	119169226319	119.17	294.2	65347.2	16655.4	19340.2	22998.4	87068	102539	122566
35	HG03834.m64043_220107_191226.dc.q20.fastq.gz	HG03834	HG03834_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6331874	132417448216	132.42000000000002	333.6666666666667	63233.0	18854.666666666668	20325.333333333332	22364.666666666668	57290	62058	68760
36	HG06807.m64043_211118_185250.dc.q20.fastq.gz	HG06807	MGISTL_PAN027_HG06807_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6484035	126624486628	126.63	423.75	58422.25	17360.0	19276.25	21433.25	71312	78995	88335
37	NA18522.m54329U_220604_002013.dc.q20.fastq.gz	NA18522	NA18522.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7290884	148523740944	148.53	193.33333333333334	65033.333333333336	16902.0	19569.0	23139.333333333332	52928	61974	73487
38	NA18612.m64043_220708_205637.dc.q20.fastq.gz	NA18612	NA18612_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6560371	126126177022	126.13	123.66666666666667	62553.666666666664	16783.666666666668	18437.333333333332	20961.333333333332	51405	56969	65815
39	NA18747.m54329U_220823_191353.dc.q20.fastq.gz	NA18747	PG18747_1.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6685793	137946527417	137.95000000000002	170.75	82736.5	17631.25	20059.0	23234.75	72907	83696	97051
40	NA18971.m64043_220701_181144.dc.q20.fastq.gz	NA18971	NA18971_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6356613	128174019604	128.18	360.0	60825.5	17220.25	19218.5	21586.25	70810	79167	89180
41	NA18983.m64457e_220902_165459.dc.q20.fastq.gz	NA18983	PG18983.HFSS2_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7141492	150965519612	150.97	144.33333333333334	74984.66666666667	17986.0	20515.666666666668	23777.333333333332	55839	64243	74456
42	NA19043.m54329U_220916_162216.dc.q20.fastq.gz	NA19043	PG19043.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7096943	150123382069	150.13	129.33333333333334	75354.33333333333	17699.0	20372.333333333332	23935.666666666668	55298	64323	75792
43	NA20752.m64457e_220827_152226.dc.q20.fastq.gz	NA20752	PG20752.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7692422	162495059725	162.5	142.66666666666666	65946.33333333333	17900.333333333332	20407.333333333332	23738.0	55564	63989	74571
44	NA20805.m64136_220726_203708.dc.q20.fastq.gz	NA20805	NA20805_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6534629	135181438193	135.18	101.66666666666667	69653.0	18941.0	20475.666666666668	22232.333333333332	57624	62329	67769
45	NA20905.m64076_220914_214248.dc.q20.fastq.gz	NA20905	PG20905.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7586162	151940819969	151.94	70.0	68285.66666666667	16723.0	19347.333333333332	22744.333333333332	52351	61125	71878
