	filename	sample_ID	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	data_type	shear_method	size_selection	DeepConsensus_version	polymerase_version	seq_plate_chemistry_version	generator_facility	generator_contact	total_reads	total_bp	total_Gbp	min	max	quartile_25	quartile_50	quartile_75	N25	N50	N75
27	"['HG03041.m54329U_211214_012740.dc.q20.fastq.gz'
 'HG03041.m54329U_211215_225017.dc.q20.fastq.gz'
 'HG03041.m54329U_211217_080751.dc.q20.fastq.gz']"	HG03041	HG03041.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6805904	132165167295	132.17000000000002	267.6666666666667	64985.666666666664	15903.333333333334	18577.333333333332	22136.0	16698.666666666668	19741.666666666668	23609.666666666668
28	"['HG03130.m64076_220513_215716.dc.q20.fastq.gz'
 'HG03130.m64076_220516_221911.dc.q20.fastq.gz'
 'HG03130.m64076_220518_191414.dc.q20.fastq.gz']"	HG03130	HG03130.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7085218	139432328617	139.43	88.33333333333333	62736.666666666664	16182.0	18884.333333333332	22410.666666666668	16971.666666666668	20018.666666666668	23797.666666666668
29	"['HG03139.m54329U_220519_225150.dc.q20.fastq.gz'
 'HG03139.m54329U_220523_155616.dc.q20.fastq.gz'
 'HG03139.m54329U_220525_111437.dc.q20.fastq.gz']"	HG03139	HG03139.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7058452	151808949493	151.8	92.33333333333333	74979.33333333333	17508.666666666668	20641.333333333332	24668.666666666668	18486.333333333332	22003.333333333332	26277.0
30	"['HG03195.m64043_220726_203720.dc.q20.fastq.gz'
 'HG03195.m64136_220617_195203.dc.q20.fastq.gz'
 'HG03195.m64136_220619_164654.dc.q20.fastq.gz'
 'HG03195.m64136_220621_134558.dc.q20.fastq.gz']"	HG03195	HG03195_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	5906072	123240720890	123.24000000000001	280.25	65114.25	18427.25	20521.75	23971.75	18875.75	21459.75	25127.75
31	"['HG03209.m64076_220520_234906.dc.q20.fastq.gz'
 'HG03209.m64076_220524_161808.dc.q20.fastq.gz'
 'HG03209.m64076_220526_115049.dc.q20.fastq.gz'
 'HG03209.m64076_221001_041132.dc.q20.fastq.gz']"	HG03209	HG03209.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7501931	140625111425	140.63	234.0	63327.0	15893.5	18113.75	21140.5	16445.0	18956.5	22210.0
32	"['HG03225.m64043_220518_120044.dc.q20.fastq.gz'
 'HG03225.m64043_220726_203720.dc.q20.fastq.gz'
 'HG03225.m64136_220518_004520.dc.q20.fastq.gz']"	HG03225	HG03225_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	4569445	96152315436	96.16	493.3333333333333	60798.0	18453.666666666668	20347.0	22947.666666666668	18860.333333333332	20929.0	23791.333333333332
33	"['HG03239.m54329U_220105_011819.dc.q20.fastq.gz'
 'HG03239.m64076_220106_231243.dc.q20.fastq.gz'
 'HG03239.m64076_220108_100904.dc.q20.fastq.gz']"	HG03239	HG03239.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6525550	132048314514	132.05	269.0	67853.66666666667	16421.0	19395.666666666668	23263.666666666668	17372.333333333332	20739.333333333332	24876.666666666668
34	"['HG03704.m54329U_211105_213234.dc.q20.fastq.gz'
 'HG03704.m54329U_211111_222027.dc.q20.fastq.gz'
 'HG03704.m54329U_220203_054640.dc.q20.fastq.gz'
 'HG03704.m54329U_220207_224702.dc.q20.fastq.gz'
 'HG03704.m64076_220216_013707.dc.q20.fastq.gz']"	HG03704	"['HG03704_SRE.HFSS_dc' 'HG03704_SRE.HFSS_dc' 'HG03704.HFSS3_dc'
 'HG03704.HFSS3_dc' 'HG03704.HFSS3_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	5861296	119169226319	119.17	294.2	65347.2	16655.4	19340.2	22998.4	17413.6	20507.8	24513.2
35	"['HG03834.m64043_220107_191226.dc.q20.fastq.gz'
 'HG03834.m64043_220109_060731.dc.q20.fastq.gz'
 'HG03834.m64043_220110_170603.dc.q20.fastq.gz']"	HG03834	HG03834_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6331874	132417448216	132.42000000000002	333.6666666666667	63233.0	18854.666666666668	20325.333333333332	22364.666666666668	19096.666666666668	20686.0	22920.0
36	"['HG06807.m64043_211118_185250.dc.q20.fastq.gz'
 'HG06807.m64043_211120_054831.dc.q20.fastq.gz'
 'HG06807.m64043_211121_164646.dc.q20.fastq.gz'
 'HG06807.m64043_211222_184851.dc.q20.fastq.gz']"	HG06807	MGISTL_PAN027_HG06807_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6484035	126624486628	126.63	423.75	58422.25	17360.0	19276.25	21433.25	17828.0	19748.75	22083.75
37	"['NA18522.m54329U_220604_002013.dc.q20.fastq.gz'
 'NA18522.m54329U_220605_194957.dc.q20.fastq.gz'
 'NA18522.m54329U_220607_194753.dc.q20.fastq.gz']"	NA18522	NA18522.HFSS_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	7290884	148523740944	148.53	193.33333333333334	65033.333333333336	16902.0	19569.0	23139.333333333332	17642.666666666668	20658.0	24495.666666666668
38	"['NA18612.m64043_220708_205637.dc.q20.fastq.gz'
 'NA18612.m64043_220710_175250.dc.q20.fastq.gz'
 'NA18612.m64043_220712_145025.dc.q20.fastq.gz']"	NA18612	NA18612_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6560371	126126177022	126.13	123.66666666666667	62553.666666666664	16783.666666666668	18437.333333333332	20961.333333333332	17135.0	18989.666666666668	21938.333333333332
39	"['NA18747.m54329U_220823_191353.dc.q20.fastq.gz'
 'NA18747.m64076_220826_143529.dc.q20.fastq.gz'
 'NA18747.m64076_220828_113336.dc.q20.fastq.gz'
 'NA18747.m64076_221001_041132.dc.q20.fastq.gz']"	NA18747	"['PG18747_1.HFSS_dc' 'PG18747_2.HFSS_dc' 'PG18747_2.HFSS_dc'
 'PG18747_1.HFSS_dc']"	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6685793	137946527417	137.95000000000002	170.75	82736.5	17631.25	20059.0	23234.75	18226.75	20924.0	24262.75
40	"['NA18971.m64043_220701_181144.dc.q20.fastq.gz'
 'NA18971.m64043_220703_150718.dc.q20.fastq.gz'
 'NA18971.m64043_220705_120954.dc.q20.fastq.gz'
 'NA18971.m64043_220728_173215.dc.q20.fastq.gz']"	NA18971	NA18971_lib1_dc	WGS	GENOMIC	size fractionation	single	PACBIO_SMRT	PacBio Sequel II	HiFi sequencing of 20kb fractionated gDNA rebasecalled using DeepConsensus	unaligned reads	Megaruptor 1	SageELF	1.2	P2	C2	Washington University	tgraves@wustl.edu	6356613	128174019604	128.18	360.0	60825.5	17220.25	19218.5	21586.25	17702.5	19791.75	22295.0
